	0
0	Serçe ile söyleşenin sesi semadan gelir.
1	Gül dibi bülbül dili gibi, bülbül dili gül dibi gibi
2	Keşkekçinin keşkekleşmemiş keşkek kepçesi
3	Şu duvarı badanalamalı mı? Badanalamamalı mı?
4	Bu mum umumumuzun mumu.
5	Nankör nalbant nalları nallamalı mı, nallamamalı mı?
6	Kapı gıcırdatanlardan mısınız? Kıvılcım sıçratıcılardan mısınız?
7	Bu yoğurdu sarımsaklasak da mı saklasak, sarımsaklamasak da mı saklasak?
8	Bu çocuğu gıdıklasak da güldürsek mi? Yoksa gıdıklamasak da güldürmesek mi?
9	Herkes bazlama yapıp bazlamalandı da biz bir bazlama yapıp bazlamalanamadık.
10	Siz bizim Çekoslavakyalılaştırdıklarımızdan mısınız? Yoksa Çekoslavakyalılaştıramadıklarımızdan mısınız?
11	Al şu takatukaları, takatukacıya götür. Takatukacı takatukaları takatukalamazsa, takatukaları takatukalatmadan geri getir.
12	Pireli peyniri perhizli pireler tepelerse pireli peynirler de pır pır pervaz ederler.
13	Hakkı haklının hakkını yemiş. Haklı Hakkı’ dan hakkını istemiş. Hakkı haklıya hakkını vermeyince haklı da Hakkı’ nın hakkından gelmiş.
14	Ocak kıvılcımlandırıcılardan mısınız, kapı gıcırdatıcılardan mısınız? Ne ocak kıvılcımlandırıcılardanız, ne kapı gıcırdatıcılardanız.
15	Kelkit’ te keklikler Kesmik’ e dadanmışlar. Kelkitliler de Kesmik’ teki kekliklerin etine dadanmışlar. Kelkit’ teki keklikler Kesmik’ e dadanmayaydılar, Kelkitliler de Kesmik’ teki kekliklerin etine dadanmazlardı.
16	Çatalca’ da topal çoban çatal yapıp çatal satar, nesi için Çatalca’ da topal çoban çatal yapıp çatal satar? Kâri için Çatalca’ da topal çoban çatal yapıp çatal satar.
17	O pikap bu pikap şu pikap
18	Paşa tası ile beş has tas kayısı hoşafı
19	Şemsi Paşa pasajında sesi büzüşesiceler
20	Dal sarkar kartal kalkar; kartal kalkar dal sarkar.
21	Şiş şişeyi şişlemiş, şişe de keşişe kış demiş.
22	Kırk kırık küp. Kırkının da kulpu kırık kara kırık küp.
23	Kırk kartal, kırk kanadı kırık kartal. Kırkı kalkar, kırkı konar.
24	Şu köşe yaz köşesi, bu köşe kış köşesi, ortada su şişesi.
25	İbiş’ le Memiş mahkemeye gitmiş, mahkemeleşmiş mi, mahkemeleşememiş mi?
26	El alem ala dana aldı ala danalandı da biz bir ala dana alıp da ala danalanamadık.
27	Delmişler, takmışlar. Bunu böyle yapmışlar. Delmiyelerdi, takmıyalardı. Bunu böyle yapmıyalardı.
28	Üçüncü üçkâğıtçı, üçetek üçleşerek üçteker arabayla süzüm süzüm süzülen süzgeçleri süzdü.
29	Bir berber bir berbere, bre berber, gel beraber berberistanda bir berber dükkânı açalım diye bar bar bağırmış.
30	Sizin bacaya konmuş allı ballı kabaklı baykuşa, bizim bacaya konmuş allı ballı kabaklı baykuş demiş ki; Nasılsın allı ballı kabaklı baykuş..?
31	Dört deryanın deresini dört dergâhın derbendine devrederlerse, dört deryadan dört dert, dört dergâhtan dört dev çıkar.
32	Ballandıran dalları ballandırmalı mı? Yoksa ballandırmamalı mı? Yoksa o bala daldırılan baldıran dalları dallandırmalı mı, ballı dalla dallandırılmamalı mı?
33	Sizin damda var, beş boz başlı beş boz ördek, bizim damda var beş boz başlı beş boz ördek, sizin damdaki beş boz başlı beş boz ördek, bizim damdaki beş boz başlı beş boz ördeğe, siz de bizcileyin beş boz başlı beş boz ördek misiniz? demiş.
34	Bir tarlaya kemeken ekmişler. Bu tarlaya iki kürkü yırtık kel kör kirpi dadanmış. Biri kürkü yırtık erkek kel kör kirpi, öteki kürkü yırtık dişi kel kör kirpi. Kürkü yırtık erkek kel kör kirpinin yırtık kürkünü, kürkü yırtık dişi kel kör kirpinin yırtık kürküne; kürkü yırtık dişi kel kör kirpinin yırtık kürkünü, kürkü yırtık erkek kel kör kirpinin yırtık kürküne eklemişler.
35	Şu karşıda bir dal, dal sarkar kartal kalkar; kartal kalkar, dal sarkar. Kartal kalkar, kantar tartar.
36	 Kapı gıcırdatıcılardan mısınız, ocak kıvılcımlandırıcılardan mı?
37	 Şu yoğurdu sarımsaklasak da mı saklasak, yoksa sarımsaklamasak da mı saklasak?
38	Üç tas tunç has hoşaf
39	Adem madene gitmiş, Adem madende badem bulmuş, madem ki Adem madende badem bulmuş, niye bize getirmemiş.
40	Al bu takatukaları, takatukacıya takatukalamaya götür, takatukacı takatukaları takatukalamam derse, takatukacıdan takatukaları takatukalamadan al da gel.
41	Dört deryanın deresini dört dergahın derbendine devrederlerse, dört deryadan dört dert, dört dergahtan dört dev çıkar.
42	Kırk kırık küp, kırkının da kulpu kırık kara küp.
43	"Şu tarlaya bir şinik kekeremekere ekilmiş.
Bu tarlaya da bir şinik kekeremekere ekilmiş.
Şu tarlaya ekilen bir şinik kekeremekereye boz ala boz başlı bir pis porsuk dadanmış.
Bu tarlaya ekilen bir şinik kekeremekereye de boz ala boz başlı bir pis porsuk dadanmış.
Şu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuk, bu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuğa, ""sen ne zamanden beri bu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuksun?"" diye sormuş.
Bu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuk, şu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuğa, ""sen ne zamandan beri şu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuksan, ben de o zamandan beri bu tarlaya ekilen bir şinik kekeremekereye dadanan boz ala boz başlı pis porsuğum"" demiş."
44	
45	Adem madene gitmiş. Adem madende badem yemiş. Madem ki Adem madende badem yemiş, niye bize getirmemiş.
46	Al bu takatukaları takatukacıya takatukalatmaya götür. Takatukacı takatukaları takatukalamam derse takatukacıdan takatukaları takatukalatmadan al da gel.
47	Bir berber bir berbere, bre berber gel beraber bir berber dükkânı açalım demiş.
48	Bir dalda bir kartal; dal tartar, kartal kalkar.
49	Bu çorbayı nanelemeli mi de yemeli, nanelememeli mi de yemeli?
50	Bu köşe yaz köşesi, şu köşe kış köşesi.
51	Çıtır pıtır hanımın, çıtı pıtı kızının çıtkırıldım çocuğu olmuş.
52	Bu duvarı badanalamalı mı , badanalamamalı mı?
53	El alem ala dana aldı aladanalandı da biz bir ala dana alıp aladanalanamadık. 
54	Şiş, şişeyi şişlemiş; şişe keşişe kiş demiş.
55	Değirmene girdi köpek. Değirmenci vurdu kötek, hem köpek yedi kötek, hem kötek yedi köpek.
56	Kırk kantar, kırkar kırkar kantar tartar.
57	Herkes yoğurdu sarımsaklamış yemiş, biz sarımsaklasak da mı yesek, sarımsaklamasak da mı yesek?
58	Ummaca, üç kere ağzını açıp yummaca, üç kere de arkasından kahkaha ile gülmece.
59	İbiş ile Memiş mahkemeye gitmişler, mahkemede mahkemeleşmişler mi, mahkemeleşmemişler mi?
60	Nereden gelip nereye gidiyorsun, beş eşekli, bez yüklü beş adam?
61	Götür küpü, dök küpü. Getir küpü dök küpü.Gül dibi, bülbül dili gibi.
62	Çarşıda koza ucuz, çarşıda darı ucuz, çarşıda boza da ucuz mu?
63	Falcı, falcının falına, fasa fiso dedi.
64	O pikap, şu pikap, bu pikap.
65	Sudan çıktı iki su şadısı, biri erkek şu şadısı, diğeri dişi şu şadısı.
66	Keşkekçinin keşkeklenmiş keşkek kepçesi.
67	Bu bankaya eski veznedar gelecek, bu bankaya eski vezne dar gelecek.
68	Bu evi yıkıp yapsak da mı otursak, yoksa yıkmasak onarsak da mı otursak?
69	Pireli peyniri perhizli pireler tepelerse pireli peynirler de pır pır pervaz ederler.
70	Ocak kıvılcımlandırıcılardan mısın, kapı gıcırdatıcılardan mısın? Ne ocak kıvılcımlandırıcılardanım, ne kapı gıcırdatıcılardanım.
71	Çatalcada topal çoban çatal yapıp çatal satar, nesi için çatalcada topal çoban çatal yapıp çatal satar?
72	Dört deryanın deresini dört dergâhın derbendine devrederlerse, dört deryadan dört dert, dört dergâhtan dört dev çıkar.
73	Bir tarlaya kemeken ekmişler. İki kürkü yırtık kel kör kirpi dadanmış. Biri erkek kürkü yırtık kel kör kirpi, öteki dişi kürkü yırtık kel kör kirpi. Kürkü yırtık erkek kel kör kirpinin yırtık kürkünü, kürkü yırtık dişi kel kör kirpinin yırtık kürküne, kürkü yırtık dişi kel kör kirpinin yırtık kürkünü, kürkü yırtık erkek kel kör kirpinin yırtık kürküne eklemişler.
74	Kırk kırık küp kırkının da kulpu kırık kara küp.
75	A be kuru dayı ne kuru sarı darı bu darı a be kuru dayı.
76	Şu karşıdaki kara kuru kavak , karardın mı, ey kara kuru kavak sarardın mı ey kara kuru kavak!
77	Paşa tası ile beş has tas kayısı hoşafı.
78	Sen seni bil, sen seni, bil sen seni, bil sen seni, sen seni bilmezsen patlatırlar enseni.
79	El alem aladana aldı aladanalandı da biz bir aladana alıp aladanalanamadık.
80	Çarık çorap dolak, ben sana çarık çorap dolak mı dedim?
81	Sizin damda var beş boz başlı beş boz ördek Bizim damda var beş boz başlı beş boz ördekSizin damdaki beş boz başlı beş boz ördekBizim damdaki beş boz başlı beş boz ördekSiz de bizcileyin beş boz başlı beş boz ördek misiniz demiş
82	Lâla lâtif lâleli lâmbasını lâcivert lâke lâvabodan nâzik, nâdide şefkâte verdi.
83	Gece penceredeki benekli tekir kedi tenceresindeki eti yedi.
84	Davulcu dede dışarıklı dikişçiyi dolandırırken dönemecin duvarından düştü
85	Galip Geyve'de gır gır giden gocuklu göçmen gururluya güldü.
86	Habeş hemşire hırkalı hizmetçi hoppa hödüğe hurmaları hürmetle sundu.
87	Kara kahküllü ketenli kız kibar komşusuna köprülü kuyuda küstü.
88	Şamlı, şemsiyeli, şıracı,şişko, şoför, şölende, şurupçuları şüphelendirdi.
89	Sandıklıda sepetleri sıralı simitçi sofrada sökülen sucukları süpürdü.
90	Tatar tepsici tıknaz titiz Tosun tömbekici tulumbacıyla tütün tüttürdü.
91	Hakkı hakkının hakkını yemiş.Hakkı Hakkı'dan hakkını istemiş. Hakkıya hakkını vermeyince haklı da Hakkı'nın hakkından gelmiş. 
92	Biz onlara ders verelim derken onlarda bize ders vermişler,şimdi gidip onlara bir ders daha verelim de biz onlara ders verirken gelip bize ders vermek neymiş görsünler. 
93	Yaprağın üstünde bir tırtıl, yaprağı yiyor kıtır kıtır, yaprağı yeme pis hain tırtıl
